time (Ma),sedFlux (km3/yr),bioMar (Family Nb)
-238.0,1.4296557583291103,216.09630377497072
-237.0,1.4545685407591713,219.48068
-236.0,1.4737525171897938,223.81342248804086
-235.0,1.4839581045619128,229.1962903197915
-234.0,1.4819357198164576,235.46395
-233.0,1.4668464625521511,242.33242821197555
-232.0,1.447494162998881,249.0431923532709
-231.0,1.433595379285395,254.71907000000002
-230.0,1.4288748505047164,258.740439478872
-229.0,1.4355593609909367,261.51788211897696
-228.0,1.4558756950781488,263.7195300000001
-227.0,1.4920506371004436,265.9247549836476
-226.0,1.5434209755533794,268.3578880597103
-225.0,1.597763515578384,271.1545
-224.0,1.6399650664783472,274.2838113272785
-223.0,1.6549124375561637,277.04964156810775
-222.0,1.6274924381147249,278.58946000000003
-221.0,1.5495216955636084,278.38940267020143
-220.0,1.4405361097391376,277.33027270489566
-219.0,1.3270013985843194,276.6415400000001
-218.0,1.2353832800421616,276.9462531771009
-217.0,1.185680839715221,276.44177576045814
-216.0,1.1720266338442573,272.71905000000004
-215.0,1.1820865863295797,264.4680927695432
-214.0,1.2035266210714963,254.7752194384572
-213.0,1.2240126619703158,247.82582
-212.0,1.2342528109277893,246.61960204102263
-211.0,1.237123881851435,249.41354352275002
-210.0,1.238544866650213,253.27894000000003
-209.0,1.2444347572330834,255.90616980710698
-208.0,1.260712545509006,257.46194239646894
-207.0,1.2932972233869409,258.7320500000001
-206.0,1.3481077827758483,260.33557613795716
-205.0,1.4310632155846883,262.2247694839673
-204.0,1.5425045146615193,264.1851700000001
-203.0,1.6604606766108023,266.0664697151389
-202.0,1.7573826989760966,267.97496892692163
-201.0,1.805721579300961,270.08112
-200.0,1.7866811705905632,272.4947687051914
-199.0,1.7164767476965062,275.0833344379761
-198.0,1.6200764409319997,277.6536300000001
-197.0,1.5224483806102553,280.08295398261424
-196.0,1.448560697044483,282.53054813598914
-195.0,1.4170844889428955,285.22614
-194.0,1.42150272859371,288.3289294384258
-193.0,1.4490013566801454,291.7160056106602
-192.0,1.4867663138854208,295.19393
-191.0,1.5219835408927556,298.5587141896083
-190.0,1.5446182224467577,301.56417016211105
-189.0,1.5557525195375905,303.95356000000004
-188.0,1.559247837216808,305.60494491425203
-187.0,1.5589655805359626,306.9355826297846
-186.0,1.558263932921614,308.49753000000004
-185.0,1.5584881913003445,310.71219763486494
-184.0,1.560480430973749,313.4784111706025
-183.0,1.565082727243413,316.56435
-182.0,1.5731371554109308,319.7705767685107
-181.0,1.585485790777889,323.0271871322502
-180.0,1.6029707086458822,326.29666000000003
-179.0,1.6264339843164983,329.5496934392407
-178.0,1.6567176930913288,332.7898621522487
-177.0,1.693973653860445,336.02896
-176.0,1.735592659867843,339.27520688193437
-175.0,1.778275247946003,342.52252685134766
-174.0,1.8187219549274023,345.7612700000001
-173.0,1.853633317644518,348.9878619959853
-172.0,1.8797098729298312,352.22303081273145
-171.0,1.8949712437071973,355.49358000000007
-170.0,1.9027133972659949,358.8055851341248
-169.0,1.9075513869869831,362.0822098977269
-168.0,1.9141002662509181,365.22589000000005
-167.0,1.9289799192924493,368.1707470971457
-166.0,1.9668295537617877,370.97764663339814
-165.0,2.044293208163033,373.7391400000001
-164.0,2.170328882909564,376.5252305513671
-163.0,2.323150426051855,379.3157294946068
-162.0,2.473285647549659,382.0679
-161.0,2.5912623573627256,384.74476625294193
-160.0,2.647608365450806,387.33239649928595
-159.0,2.623564440922557,389.82262
-158.0,2.5432231894822546,392.2076873998283
-157.0,2.4413901759830767,394.48153487861987
-156.0,2.3528709652782056,396.6385200000001
-155.0,2.312471122220822,398.71383525885625
-154.0,2.3446415951599935,400.90601287512385
-153.0,2.4324148664283545,403.45442
-152.0,2.5484688018544253,406.51607378696906
-151.0,2.6654812672667294,409.9185913986627
-150.0,2.756130128493786,413.40724
-149.0,2.7930932513641213,416.8242792228974
-148.0,2.760545043304609,420.39993856726227
-147.0,2.6886460781355495,424.46144000000004
-146.0,2.6190534712755973,429.03400895107137
-145.0,2.593424338143411,432.9348847026587
-144.0,2.6369521284758415,434.67931000000004
-143.0,2.708975629282534,433.28760089874334
-142.0,2.7523699618913335,429.80036669617715
-141.0,2.7235551807007403,425.76329000000004
-140.0,2.633131072391892,422.4548300465482
-139.0,2.5052423567165825,420.0845525867071
-138.0,2.3640337534266065,418.5948000000001
-137.0,2.233649982273759,417.86809039654605
-136.0,2.1382357630098343,417.5476448088469
-135.0,2.0948284705608113,417.21686
-134.0,2.092036100549395,416.6014468857866
-133.0,2.1113593037724776,415.99637299272075
-132.0,2.1342987310269477,415.83892000000003
-131.0,2.1423550331096965,416.4498761343819
-130.0,2.1243869510658766,417.684055812863
-129.0,2.0986855869337075,419.2797800000001
-128.0,2.0909001329996686,421.0130022803899
-127.0,2.1266797815502416,422.8102067187906
-126.0,2.2226188591449643,424.63551
-125.0,2.3590922294356043,426.4556236329475
-124.0,2.5074198903469838,428.2476384230862
-123.0,2.6389218398039263,429.99124000000006
-122.0,2.7249180757312526,431.68902355819057
-121.0,2.7449376460714214,433.43522255182813
-120.0,2.7113457988374217,435.34698000000003
-119.0,2.644716832059872,437.5048936157716
-118.0,2.565625043769396,439.84337988812
-117.0,2.494644731996614,442.26031000000006
-116.0,2.4523501947721487,444.6718545713154
-115.0,2.45375688924971,447.0673819697658
-114.0,2.4916449090753723,449.4545600000001
-113.0,2.5532355070183006,451.84128328415215
-112.0,2.6257499358476606,454.2363537142983
-111.0,2.696409448332612,456.64879999999994
-110.0,2.7578120260232653,459.07884969948356
-109.0,2.824062565593486,461.49152576563375
-108.0,2.9146426924980844,463.84305000000006
-107.0,3.0490340321918703,466.12462088087665
-106.0,3.2359158100442977,468.4673435935372
-105.0,3.4407576510834135,471.0373000000001
-104.0,3.618226780251907,473.9669745547878
-103.0,3.7229904224924697,477.2544620824399
-102.0,3.722283811073712,480.86426
-101.0,3.6336142125679065,484.67974127034296
-100.0,3.4870569018732445,488.2597810396666
-99.0,3.3126871538879152,491.08213000000006
-98.0,3.1405802435101102,493.1876662897668
-97.0,3.0008114456380217,496.86977783296817
-96.0,2.915778808682497,504.98498000000006
-95.0,2.877171475105018,519.1430146817015
-94.0,2.8690013608797282,535.9665298506835
-93.0,2.8752803819807653,550.8314
-92.0,2.8800204543822723,560.2258949834278
-91.0,2.871618715131801,565.087866097632
-90.0,2.8560131855705575,567.46756
-89.0,2.843527108113155,569.1053594586617
-88.0,2.8444837251742134,570.502191684715
-87.0,2.8692062791683455,571.84912
-86.0,2.924081103862408,573.2901545893328
-85.0,2.999746898432194,574.7810930894341
-84.0,3.0829054534057336,576.2306800000001
-83.0,3.1602585593110586,577.591862184007
-82.0,3.2185080066761995,578.994395957549
-81.0,3.2443555860291875,580.61224
-80.0,3.229021497427108,582.5791563042691
-79.0,3.1817995790432807,584.868120117407
-78.0,3.116502078580077,587.41191
-77.0,3.0469412437398713,590.0981859322503
-76.0,2.986929322225037,592.6341335728233
-75.0,2.9502785617379486,594.68182
-74.0,2.945844224106033,596.1787103371
-73.0,2.962653627656943,598.1638618875963
-72.0,2.9847771048433827,601.95173
-71.0,2.996284988118058,607.8177123489793
-70.0,2.981247609933677,611.8809759138288
-69.0,2.923735302742943,609.22163
-68.0,2.818109612445737,596.5853398966128
-67.0,2.6998969387306464,577.3799948274593
-66.0,2.614914894733425,556.67904
-65.0,2.5972938504787493,538.8602858423474
-64.0,2.634415203546961,525.5190036652228
-63.0,2.7019731084073184,517.5548300000002
-62.0,2.7756617195290767,515.4766385858497
-61.0,2.8311751913814946,518.230251993131
-60.0,2.852965797622669,524.3707300000001
-59.0,2.860518288666046,532.5660753698097
-58.0,2.8820755341139126,541.9360628066983
-57.0,2.945880403568552,551.7134100000001
-56.0,3.0801757666322533,561.2960895645413
-55.0,3.2989674118840497,570.7430938171136
-54.0,3.559312803809969,580.27867
-53.0,3.8040323258727873,590.0523078535068
-52.0,3.975946361535282,599.9144671100328
-51.0,4.033243598753378,609.6408500000001
-50.0,3.9955859434556005,619.1015430955059
-49.0,3.8980036060636234,628.5441703353481
-48.0,3.775526796999123,638.3107400000001
-47.0,3.6631857266837695,648.5054397644702
-46.0,3.5960106055392416,658.2811748819084
-45.0,3.6090316439872137,666.55303
-44.0,3.7233167006074495,672.6148374762435
-43.0,3.9040842266120874,677.275420507389
-42.0,4.102590321371351,681.72235
-41.0,4.270091084255473,686.792299219445
-40.0,4.357842614634677,691.9183508663136
-39.0,4.335400844604544,696.18269
-38.0,4.245521037162042,698.9112352756056
-37.0,4.149258288029501,700.4048397310601
-36.0,4.107667692929239,701.20809
-35.0,4.163744584651995,701.7861167151696
-34.0,4.288245244262168,702.2862265057425
-33.0,4.433866189892579,702.7762700000001
-32.0,4.553303939676043,703.3048363822351
-31.0,4.599255011745379,703.8434690607852
-30.0,4.5396174285892945,704.3444500000002
-29.0,4.403095230120053,704.8128562744095
-28.0,4.233593960605811,705.4649453992652
-27.0,4.075019164314721,706.5697700000001
-26.0,3.9712763855149418,708.3005766682757
-25.0,3.9536123539834414,710.4473878606725
-24.0,4.00263854153245,712.7044200000001
-23.0,4.086307605483012,714.8310770524879
-22.0,4.172572203156166,716.847513158045
-21.0,4.22938499187296,718.83907
-20.0,4.224698628954437,720.8709351217731
-19.0,4.138359752950442,722.9276795071479
-18.0,3.997790927326041,724.97372
-17.0,3.8423086967751026,726.9889028307908
-16.0,3.711229605991496,729.0147917763268
-15.0,3.643870199669089,731.1083800000001
-14.0,3.6662234182143045,733.2850961476566
-13.0,3.7509877848837663,735.3941107949533
-12.0,3.857538218646652,737.2430300000001
-11.0,3.945249638472142,738.6860607267313
-10.0,3.9827575558493455,739.7638135623789
-9.0,3.9757398523470906,740.5635
-8.0,3.9391350020541482,741.171050204678
-7.0,3.8878814790592813,741.6672690296049
-6.0,3.836917757451252,742.1316799999998
-5.0,3.8011823113188266,742.6279017878899
-4.0,3.7956136147507697,743.1559336525341
-3.0,3.8351501418358453,743.69987
-2.0,3.9347303666628175,744.2438052363548
-1.0,4.109292763320454,744.7718337676656
0.0,4.373775805897515,745.26805
